LocalDate,LocalTime,{[clx]CycleReport.Recipe.Name},{[clx]CycleReport.UserID_Start},{[clx]CycleReport.Recipe.ModifiedBy},{[clx]DBExchange.Batch[0]},{[clx]DBExchange.Batch[1]},{[clx]DBExchange.Batch[2]},{[clx]DBExchange.Batch[3]},{[clx]DBExchange.Batch[4]},{[clx]CycleStatus.CycleTimer.Hour},{[clx]CycleStatus.CycleTimer.Minute},{[clx]CycleStatus.CycleTimer.Second},{[clx]CycleStatus.PhaseTime.Hour},{[clx]CycleStatus.PhaseTime.Minute},{[clx]CycleStatus.PhaseTime.Second},{[clx]CycleStatus.CycleCounter},{[clx]CycleStatus.PhaseType},{[clx]CycleStatus.SubPhase},{[clx]AI_Data[0].Value},{[clx]AI_Data[1].Value},{[clx]AI_Data[2].Value},{[clx]AI_Data[3].Value},{[clx]AI_Data[7].Value},{[clx]DI_Data[0].10},{[clx]DI_Data[0].9},{[clx]DI_Data[0].8},{[clx]DI_Data[0].7},{::[clx]Program:MainProgram.SYSFLAG.Alarm_Phase},{::[clx]Program:MainProgram.SYSFLAG.Process_Stepped},{::[clx]Program:MainProgram.FLAG.Door_Seal_Interlock},{::[clx]Program:MainProgram.FLAG.Pressure_Interlock},{::[clx]Program:MainProgram.FLAG.Timeout},{::[clx]Program:MainProgram.FLAG.Vacuum_Timeout}
06/02/2014,11:06:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,0.00,9.00,0.00,0.00,9.00,16.00,2.00,4.00,14.99,104.13,14.99,18.28,15.06,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:06:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,0.00,19.00,0.00,0.00,19.00,16.00,2.00,4.00,14.99,113.09,14.99,18.28,15.06,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:06:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,0.00,29.00,0.00,0.00,4.00,16.00,4.00,2.00,14.99,121.13,14.99,18.28,15.06,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:06:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,0.00,40.00,0.00,0.00,15.00,16.00,4.00,2.00,14.99,120.50,14.99,18.28,14.15,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,0.00,50.00,0.00,0.00,25.00,16.00,4.00,2.00,14.99,120.36,14.99,18.28,12.16,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:11,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,0.00,0.00,0.00,35.00,16.00,4.00,2.00,14.99,119.73,14.99,18.28,10.44,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,10.00,0.00,0.00,45.00,16.00,4.00,2.00,14.99,120.50,14.99,18.28,9.53,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,20.00,0.00,0.00,55.00,16.00,4.00,2.00,14.99,119.87,14.99,18.28,7.08,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,30.00,0.00,1.00,5.00,16.00,4.00,2.00,14.99,120.36,14.99,18.28,5.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:07:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,40.00,0.00,1.00,15.00,16.00,4.00,2.00,14.99,120.02,14.99,18.28,3.82,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,1.00,50.00,0.00,1.00,25.00,16.00,4.00,3.00,14.99,120.31,14.99,18.28,2.28,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:11,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,0.00,0.00,1.00,35.00,16.00,4.00,3.00,14.99,119.68,14.99,18.28,0.92,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,10.00,0.00,1.00,45.00,16.00,4.00,3.00,14.99,120.79,14.99,18.28,0.92,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,20.00,0.00,1.00,55.00,16.00,4.00,4.00,14.99,120.40,14.99,18.28,0.92,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,29.00,0.00,2.00,4.00,16.00,4.00,4.00,18.38,120.45,17.25,18.28,1.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:08:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,40.00,0.00,2.00,15.00,16.00,4.00,4.00,28.06,120.26,24.23,18.28,1.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,49.00,0.00,2.00,24.00,16.00,4.00,6.00,36.78,120.26,30.50,18.28,2.46,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:11,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,2.00,59.00,0.00,2.00,34.00,16.00,4.00,6.00,45.74,120.21,36.96,18.28,5.81,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,9.00,0.00,2.00,44.00,16.00,4.00,6.00,53.95,120.45,43.41,18.28,8.89,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,19.00,0.00,2.00,54.00,16.00,4.00,6.00,58.62,120.36,50.03,18.28,10.71,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,29.00,0.00,3.00,4.00,16.00,4.00,6.00,62.53,120.26,56.66,18.28,12.25,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:09:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,39.00,0.00,3.00,14.00,16.00,4.00,6.00,66.96,120.50,63.11,18.28,13.97,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,49.00,0.00,3.00,24.00,16.00,4.00,2.00,69.01,120.11,68.98,18.28,15.06,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:11,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,3.00,59.00,0.00,3.00,34.00,16.00,4.00,2.00,68.33,120.36,68.38,18.28,14.15,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,4.00,9.00,0.00,3.00,44.00,16.00,4.00,2.00,67.05,120.26,67.10,18.28,12.43,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,4.00,20.00,0.00,3.00,55.00,16.00,4.00,2.00,65.69,120.45,65.71,18.28,10.62,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,4.00,30.00,0.00,4.00,5.00,16.00,4.00,2.00,65.01,120.07,65.11,18.28,9.71,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:10:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,4.00,40.00,0.00,4.00,15.00,16.00,4.00,2.00,63.18,120.31,63.23,18.28,7.26,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,4.00,50.00,0.00,4.00,25.00,16.00,4.00,2.00,62.10,120.21,62.20,18.28,5.81,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:11,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,0.00,0.00,4.00,35.00,16.00,4.00,2.00,60.74,120.16,60.85,18.28,4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:21,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,10.00,0.00,4.00,45.00,16.00,4.00,3.00,59.52,120.40,59.55,18.28,2.37,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:31,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,19.00,0.00,4.00,54.00,16.00,4.00,3.00,57.96,120.45,57.96,18.28,0.92,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:41,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,30.00,0.00,5.00,5.00,16.00,4.00,3.00,55.18,120.21,55.25,18.28,0.92,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:11:51,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,39.00,0.00,5.00,14.00,16.00,4.00,4.00,52.87,120.31,52.92,18.28,0.92,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/02/2014,11:12:01,Maintenance Function Test,DEFAULT,No user,,,,,,0.00,5.00,50.00,0.00,5.00,25.00,16.00,4.00,4.00,55.19,120.45,53.91,18.28,1.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
